agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
DQN,50,10049,1152,128,125,0.8,0.6128736110700809
DQN,51,10050,1044,128,114,14.035087719298245,0.6630052147847773
DQN,52,10051,928,64,113,2.6548672566371683,0.6630305844336948
DQN,53,10052,784,64,102,0.0,0.6702898604290498
DQN,54,10053,640,64,89,0.0,0.6491467211468839
DQN,55,10054,1132,128,126,6.349206349206349,0.6834513290049057
DQN,56,10055,596,64,82,4.878048780487805,0.661570650140577
DQN,57,10056,232,16,49,2.0408163265306123,0.6741447544815163
DQN,58,10057,1356,128,141,5.673758865248227,0.7327272544218587
DQN,59,10058,700,64,92,10.869565217391305,0.6775737434697576
DQN,60,10059,1108,128,119,0.0,0.6311148903570811
DQN,61,10060,1452,128,150,0.0,0.6844963821607476
DQN,62,10061,1332,128,138,0.7246376811594203,0.67237621681191
DQN,63,10062,1160,64,131,0.0,0.6506345645124456
DQN,64,10063,1968,256,160,6.25,0.6360388418379431
DQN,65,10064,584,64,80,75.0,0.7002390301138937
DQN,66,10065,1516,128,162,1.8518518518518519,0.7133184702874034
DQN,67,10066,828,64,111,0.0,0.6719363985577822
DQN,68,10067,712,64,98,0.0,0.6334201615058223
DQN,69,10068,660,64,87,0.0,0.6445677705517322
DQN,70,10069,1232,128,132,3.0303030303030303,0.6612060868763211
DQN,71,10070,824,64,103,3.883495145631068,0.6711604350133142
DQN,72,10071,1340,128,141,0.0,0.6461097572168268
DQN,73,10072,936,128,100,0.0,0.634977637704183
DQN,74,10073,1136,128,121,0.0,0.666827291717465
DQN,75,10074,648,64,85,0.0,0.6625832073180952
DQN,76,10075,788,64,100,0.0,0.6655509102809145
DQN,77,10076,752,64,100,1.0,0.7327683445696203
DQN,78,10077,1380,128,145,0.0,0.6773151632754297
DQN,79,10078,1092,128,116,7.758620689655173,0.634829194802496
DQN,80,10079,1484,128,152,3.9473684210526314,0.6733604039047615
DQN,81,10080,300,32,53,1.8867924528301887,0.5893034202926118
DQN,82,10081,1204,128,130,6.923076923076923,0.6463664120696488
DQN,83,10082,1140,128,122,0.819672131147541,0.6832870637911947
DQN,84,10083,1388,128,141,0.0,0.6890193447461693
DQN,85,10084,784,64,105,19.047619047619047,0.6704300746305356
DQN,86,10085,912,64,113,0.0,0.6732623404474083
DQN,87,10086,376,32,67,0.0,0.6886277315039283
DQN,88,10087,1456,128,153,9.15032679738562,0.6843820273219814
DQN,89,10088,1256,128,125,0.0,0.5987285999887755
DQN,90,10089,1556,128,162,0.6172839506172839,0.7085971670657456
